Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_players,EU_players,JP_players,Other_players,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
352,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.32,0.96,0.0,0.34,3.62,86.0,18.0,7.6,71.0,Vicarious Visions,T
353,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62,91.0,56.0,7.6,203.0,EA Sports,E
358,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,18.0,6.9,1580.0,EA DICE,M
360,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.88,1.39,0.0,0.31,3.59,,,6.2,10.0,Ubisoft,E10+
370,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52,88.0,66.0,7.5,155.0,EA Sports,E
372,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,0.49,0.05,0.3,3.51,89.0,67.0,7.9,1309.0,Certain Affinity,M
374,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,59.0,4.1,1005.0,"Ubisoft, Ubisoft Montreal",M
376,Resident Evil 5,X360,2009,Action,Capcom,2.11,0.93,0.12,0.34,3.5,83.0,91.0,7.5,523.0,Capcom,M
377,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,89.0,81.0,8.3,693.0,Ubisoft Montreal,M
379,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,80.0,14.0,5.8,579.0,EA DICE,M
380,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.95,0.02,0.31,3.48,92.0,78.0,8.7,1080.0,Rocksteady Studios,T
381,Battlefield 4,X360,2013,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,79.0,21.0,5.6,542.0,EA DICE,M
382,Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.1,1.01,0.04,0.32,3.47,88.0,75.0,8.6,869.0,EA DICE,M
383,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.21,1.62,0.27,0.37,3.46,,,,,,
384,Guitar Hero: On Tour,DS,2008,Misc,Activision,2.1,1.01,0.01,0.35,3.46,71.0,70.0,8.8,29.0,Vicarious Visions,E10+
386,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0.0,0.0,3.44,0.0,3.44,,,,,,
387,Borderlands,X360,2009,Shooter,Take-Two Interactive,2.4,0.71,0.03,0.29,3.44,84.0,83.0,8.2,715.0,Gearbox Software,M
391,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,86.0,8.2,3943.0,"Kojima Productions, Moby Dick Studio",M
395,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.83,1.05,0.06,0.46,3.39,91.0,86.0,8.4,657.0,Media Molecule,E
397,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M
398,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.04,1.02,0.0,0.32,3.38,76.0,49.0,7.9,75.0,Traveller's Tales,E10+
399,Destiny,XOne,2014,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0,"Bungie Software, Bungie",T
402,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,90.0,32.0,8.5,1041.0,Ubisoft Montreal,M
407,Monster Hunter X,3DS,2015,Action,Capcom,0.27,0.21,2.79,0.05,3.32,,,,,,
409,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,87.0,75.0,7.8,228.0,Nintendo,E10+
411,Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86.0,35.0,7.9,701.0,Ubisoft,M
413,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.09,0.0,3.18,0.01,3.28,,,,,,
414,Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,74.0,7.5,563.0,"Splash Damage, The Coalition",M
416,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.6,1.57,0.82,0.27,3.26,86.0,62.0,9.2,111.0,Level 5,E10+
417,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.58,0.31,0.87,3.25,,,,,,
